,CXOGBS,GBS_NAME,X_RAJ2000,e_RAJ2000,X_DEJ2000,e_DEJ2000,X_COUNTS,ObsID,OAxis,Ndet,X_ERR_R,HR,e_HR
0,J175024.4-290216,CX1   ,267.60183,0.03,-29.03789,0.01,3391,8709,8.99,1,0.955934499753,0.0,0.0
1,J173728.3-290802,CX2   ,264.36831,0.06,-29.13389,0.08,2191,8691,7.63,2,0.905434021792,0.0,0.0
2,J174042.8-281808,CX3   ,265.17839,0.05,-28.30222,0.03,1850,8687,5.54,4,0.846351444624,0.0,0.0
3,J173931.2-290952,CX4   ,264.88009,0.1,-29.16468,0.07,238,8679,5.63,1,0.910115799126,-0.78,0.09
4,J174009.1-284725,CX5   ,265.03806,0.06,-28.79045,0.05,157,8677,3.41,1,0.849594472568,0.5,0.1
5,J174445.7-271344,CX6   ,266.19075,0.07,-27.22902,0.05,153,8647,3.2,1,0.846351444624,-0.25,0.09
6,J173826.1-290149,CX7   ,264.6091,0.16,-29.03039,0.15,150,8690,6.65,2,0.995746337085,-0.89,0.12
7,J173508.2-292957,CX8   ,263.78449,0.12,-29.49943,0.07,138,9997,4.78,1,0.891914103385,-0.39,0.1
8,J173508.3-292328,CX9   ,263.78498,0.14,-29.39122,0.14,134,9996,5.95,1,1.03875443095,-0.64,0.12
9,J173629.0-291028,CX10  ,264.121,0.32,-29.17466,0.18,122,9995,8.34,3,1.52755057783,-0.76,0.16
10,J174151.2-270223,CX11  ,265.46374,0.52,-27.03986,0.37,102,9981,10.08,2,2.38870483062,0.64,0.24
11,J174347.2-314025,CX12  ,265.94682,0.05,-31.67367,0.04,100,8752,0.76,1,0.824324431166,-0.58,0.13
12,J175029.1-290002,CX13  ,267.62138,0.31,-29.00065,0.38,98,8709,9.98,1,2.36987568615,0.68,0.36
13,J174623.6-313500,CX14  ,266.59864,0.13,-31.58357,0.14,93,8772,5.46,2,1.06461766274,-0.75,0.18
14,J174646.1-255217,CX15  ,266.69239,0.26,-25.87152,0.33,79,8664,7.58,2,1.54460699462,0.17,0.13
15,J175545.8-275814,CX16  ,268.94095,0.2,-27.97056,0.2,79,8738,6.97,1,1.37761052835,-0.25,0.13
16,J175253.0-292209,CX17  ,268.22092,0.15,-29.36919,0.11,77,8731,5.31,1,1.08457861302,-0.18,0.13
17,J173935.7-272935,CX18  ,264.89905,0.25,-27.49331,0.17,68,10003,6.13,2,1.25869407237,-0.2,0.14
18,J174954.5-294335,CX19  ,267.47736,0.34,-29.72651,0.23,66,8742,6.96,3,1.46843820701,0.89,0.39
19,J173859.6-282449,CX20  ,264.74868,0.24,-28.41365,0.22,61,8698,6.3,2,1.33727737131,0.12,0.14
20,J174133.7-284033,CX21  ,265.39065,0.47,-28.67604,0.29,60,9564,8.32,1,2.00723958904,-0.38,0.16
21,J174554.0-311503,CX22  ,266.47506,0.07,-31.25095,0.07,57,8761,2.77,1,0.914882925744,-0.69,0.18
22,J174231.5-274349,CX23  ,265.6315,0.3,-27.73032,0.3,51,8644,6.4,3,1.44340249682,0.39,0.17
23,J174849.5-300109,CX24  ,267.20629,0.39,-30.01942,0.24,49,8744,8.17,3,2.10853284722,-0.63,0.19
24,J174502.7-315934,CX25  ,266.26158,0.29,-31.99305,0.28,48,8774,7.21,1,1.72751577933,-0.89,0.22
25,J174533.2-305856,CX26  ,266.38859,0.33,-30.98227,0.46,48,8748,8.43,2,2.25732380659,-0.94,0.27
26,J173652.8-284841,CX27  ,264.22011,0.23,-28.81154,0.25,47,9993,6.39,2,1.48523088031,-0.72,0.2
27,J173946.9-271809,CX28  ,264.94577,0.19,-27.30264,0.15,46,10004,4.17,1,1.06461766274,0.5,0.19
28,J175341.9-280353,CX29  ,268.42462,0.2,-28.06482,0.13,46,8714,4.19,1,1.07121929026,-0.14,0.17
29,J174920.6-301831,CX30  ,267.33592,0.17,-30.30884,0.4,45,8766,6.97,2,1.69219111445,0.62,0.3
30,J173803.5-290706,CX31  ,264.51464,0.07,-29.11835,0.06,44,8691,0.37,1,0.843214544359,-0.71,0.2
31,J174104.9-281503,CX32  ,265.27046,0.15,-28.25095,0.14,42,8201,4.47,2,1.13287720774,-0.91,0.24
32,J174835.5-295728,CX33  ,267.14808,0.15,-29.95799,0.19,42,8743,5.19,1,1.251003904,-0.1,0.18
33,J174718.2-304110,CX34  ,266.82595,0.2,-30.68628,0.26,40,8758,5.0,2,1.23572277142,0.66,0.21
34,J174656.0-303259,CX35  ,266.73338,0.16,-30.54986,0.16,39,8746,4.71,1,1.19071859304,0.41,0.19
35,J173753.9-282359,CX36  ,264.47475,0.5,-28.39982,0.28,37,9992,7.78,2,2.18273011795,-0.35,0.25
36,J173729.1-292804,CX37  ,264.37155,0.33,-29.46795,0.42,37,8681,7.29,1,1.95238591672,0.9,0.24
37,J175532.1-275131,CX38  ,268.88381,0.43,-27.85865,0.27,36,8727,6.16,2,1.56173325758,0.16,0.2
38,J174140.0-271738,CX39  ,265.41671,0.5,-27.29399,0.27,36,9981,7.47,2,2.05317090565,-0.35,0.25
39,J174404.3-260925,CX40  ,266.01795,0.1,-26.1571,0.09,35,9986,2.39,1,0.945204087919,0.37,0.2
40,J173648.6-294546,CX41  ,264.20267,0.42,-29.76289,0.27,34,8694,6.89,2,1.85264966138,0.35,0.2
41,J175540.7-271417,CX42  ,268.91976,0.27,-27.2382,0.26,33,8718,5.47,2,1.41855939876,-0.5,0.21
42,J173545.5-302900,CX43  ,263.93972,0.74,-30.48333,0.45,33,8686,9.0,1,3.06675900061,0.8,0.27
43,J175542.8-281809,CX44  ,268.92858,0.41,-28.30256,0.23,32,8736,7.13,1,1.99807676725,-0.19,0.19
44,J173538.5-285251,CX45  ,263.91052,0.14,-28.88111,0.08,32,10018,2.87,1,1.00170393222,0.66,0.24
45,J175316.4-283812,CX46  ,268.3187,0.48,-28.63673,0.3,31,8723,6.63,2,1.81667574647,-0.66,0.24
